class_sep,flip_y,seed,E1,E2,E4,E5,E1_err,E2_err,E4_err,E5_err,type_C_frac
1.0,0.35,2,0.306,0.29400002200174824,0.012,0.18359999999999999,0.043999999999999984,0.05599997799825174,0.33799999999999997,0.1664,0.69
1.0,0.35,3,0.297,0.28750577439675806,0.017,0.18019999999999997,0.05299999999999999,0.062494225603241915,0.33299999999999996,0.1698,0.702
1.0,0.35,4,1.0,0.2906650219409441,1.0,0.5788,0.65,0.059334978059055854,0.65,0.2288,0.0
1.0,0.35,5,0.275,0.26499999150527753,0.008,0.16460000000000002,0.07499999999999996,0.08500000849472245,0.34199999999999997,0.18539999999999995,0.723
1.0,0.4,0,1.0,0.36015841088931083,1.0,0.6244000000000001,0.6,0.03984158911068919,0.6,0.22440000000000004,0.0
1.0,0.4,1,0.255,0.2469847477182689,0.011,0.15319999999999998,0.14500000000000002,0.15301525228173113,0.389,0.24680000000000005,0.743
1.0,0.4,2,0.339,0.3230255178011473,0.027,0.2076,0.061,0.07697448219885272,0.373,0.19240000000000002,0.66
1.0,0.4,3,0.293,0.28500003420948417,0.015,0.1788,0.10700000000000004,0.11499996579051586,0.385,0.22120000000000004,0.704
1.0,0.4,4,0.313,0.3009997620116262,0.019,0.18819999999999998,0.08700000000000002,0.09900023798837382,0.381,0.21180000000000004,0.684
1.0,0.4,5,1.0,0.2630194148932302,1.0,0.5596,0.6,0.1369805851067698,0.6,0.15959999999999996,0.0
1.0,0.5,0,0.393,0.3759940654103178,0.024,0.237,0.10699999999999998,0.12400593458968218,0.476,0.263,0.604
1.0,0.5,1,0.333,0.322983392270068,0.013,0.20020000000000002,0.16699999999999998,0.177016607729932,0.487,0.29979999999999996,0.665
1.0,0.5,2,0.377,0.3540154631432707,0.029,0.2294,0.123,0.1459845368567293,0.471,0.2706,0.616
1.0,0.5,3,0.36,0.34799247434346775,0.018,0.2166,0.14,0.15200752565653225,0.482,0.2834,0.638
1.0,0.5,4,0.381,0.36997504410409165,0.013,0.2278,0.119,0.13002495589590835,0.487,0.2722,0.616
1.0,0.5,5,1.0,0.3200006271153073,1.0,0.5962000000000001,0.5,0.1799993728846927,0.5,0.09620000000000006,0.0
1.5,0.0,0,0.185,0.1819999922136958,0.007,0.1132,0.185,0.1819999922136958,0.007,0.1132,0.815
1.5,0.0,1,0.023,0.023000001136854412,0.0,0.0138,0.023,0.023000001136854412,0.0,0.0138,0.977
1.5,0.0,2,0.084,0.08200000717876504,0.001,0.0496,0.084,0.08200000717876504,0.001,0.0496,0.916
1.5,0.0,3,0.065,0.06399999438292032,0.001,0.038799999999999994,0.065,0.06399999438292032,0.001,0.038799999999999994,0.933
1.5,0.0,4,0.096,0.09499999901129652,0.003,0.058199999999999995,0.096,0.09499999901129652,0.003,0.058199999999999995,0.904
1.5,0.0,5,0.033,0.03300000215303798,0.001,0.020200000000000003,0.033,0.03300000215303798,0.001,0.020200000000000003,0.967
1.5,0.05,0,0.2,0.19400002139666958,0.006,0.11939999999999999,0.15000000000000002,0.14400002139666956,0.044000000000000004,0.06939999999999999,0.8
1.5,0.05,1,0.047,0.0460000034147076,0.001,0.0286,0.0030000000000000027,0.0039999965852924035,0.049,0.021400000000000002,0.953
1.5,0.05,2,0.097,0.09381529106097777,0.005,0.059,0.047,0.04381529106097777,0.045000000000000005,0.008999999999999994,0.902
1.5,0.05,3,0.092,0.09200002152791514,0.0,0.0552,0.041999999999999996,0.04200002152791514,0.05,0.005199999999999996,0.907
1.5,0.05,4,0.119,0.11700001389283254,0.006,0.07319999999999999,0.06899999999999999,0.06700001389283254,0.044000000000000004,0.023199999999999985,0.881
1.5,0.05,5,0.054,0.052999994215313345,0.002,0.0326,0.003999999999999997,0.0029999942153133424,0.048,0.017400000000000006,0.946
1.5,0.1,0,0.215,0.20705303034396588,0.009,0.13019999999999998,0.11499999999999999,0.10705303034396588,0.09100000000000001,0.030199999999999977,0.784
