sep,B,flip_y,seed,E1_err,E2_err,E4_err,E5_err,mu_Se_std
1.0,10,0.1,1,0.08900000000000001,0.08997452883110191,0.096,0.0936,0.017948229421543005
1.0,10,0.1,2,0.081,0.07933877119149582,0.09100000000000001,0.08560000000000001,0.018352175054822218
1.0,10,0.1,3,0.084,0.08399999697868238,0.098,0.08960000000000001,0.018192352245351893
1.0,10,0.1,4,0.081,0.08060471275250092,0.09100000000000001,0.08800000000000001,0.018344491472520607
1.0,10,0.2,0,0.18200000000000002,0.18344845190495163,0.19,0.1882,0.01881851940118238
1.0,10,0.2,1,0.18100000000000002,0.1830000391890037,0.194,0.188,0.019656608045728413
1.0,10,0.2,2,0.17900000000000002,0.180059329791724,0.193,0.187,0.01923426893418728
1.0,10,0.2,3,0.18200000000000002,0.1849999980882195,0.196,0.18760000000000002,0.018233116793098657
1.0,10,0.2,4,0.18100000000000002,0.18218873365486943,0.193,0.18760000000000002,0.0192128437647013
1.0,10,0.3,0,0.282,0.2849467439129493,0.292,0.289,0.01977095312016282
1.0,10,0.3,1,0.27599999999999997,0.2778837144642084,0.286,0.2854,0.01988763358593864
1.0,10,0.3,2,0.28099999999999997,0.2810769237900908,0.295,0.2878,0.020413584104355814
1.0,10,0.3,3,0.282,0.2807819485454395,0.291,0.2874,0.0198489035624583
1.0,10,0.3,4,0.288,0.2879617911298272,0.293,0.2912,0.020656620859071953
1.0,10,0.4,0,0.393,0.39399911126953335,0.398,0.3956,0.02070685243419842
1.0,10,0.4,1,0.377,0.3767541345542279,0.39,0.387,0.02062009528871581
1.0,10,0.4,2,0.374,0.3468958735832869,0.385,0.3808,0.020113851106049605
1.0,10,0.4,3,0.379,0.3799948302407972,0.394,0.38620000000000004,0.019087923222425404
1.0,10,0.4,4,0.387,0.3877365065659231,0.396,0.3924,0.019931540159959626
1.0,15,0.1,0,0.093,0.09330029478322414,0.098,0.0956,0.011617066636190299
1.0,15,0.1,1,0.094,0.09453260582543067,0.097,0.0964,0.0123913671226462
1.0,15,0.1,2,0.08600000000000001,0.08691862439586048,0.096,0.0912,0.011579646906778231
1.0,15,0.1,3,0.08800000000000001,0.08799999556498568,0.098,0.092,0.011360022535706827
1.0,15,0.1,4,0.08600000000000001,0.08699877559045512,0.096,0.0906,0.01195010734071935
1.0,15,0.2,0,0.192,0.19128574968690362,0.198,0.195,0.012448611582866262
1.0,15,0.2,1,0.186,0.1858786719371751,0.196,0.19060000000000002,0.012276280247187797
1.0,15,0.2,2,0.189,0.1899999173698848,0.196,0.19240000000000002,0.011998539092404378
1.0,15,0.2,3,0.185,0.1855260874695099,0.196,0.19060000000000002,0.012193487188768852
1.0,15,0.2,4,0.189,0.18801949437237936,0.197,0.1922,0.012799079291098945
1.0,15,0.3,0,0.292,0.2917049036565579,0.297,0.29519999999999996,0.012864543574380905
1.0,15,0.3,1,0.285,0.2863523320031463,0.292,0.28959999999999997,0.012882277772370629
1.0,15,0.3,2,0.289,0.28910570490439536,0.294,0.2928,0.012812239283939724
1.0,15,0.3,3,0.287,0.2881549373352199,0.295,0.29259999999999997,0.01293223895862341
1.0,15,0.3,4,0.293,0.29249291162265484,0.296,0.2954,0.013247652511387263
1.0,15,0.4,0,0.394,0.3959799759898082,0.398,0.39680000000000004,0.013399324363135838
1.0,15,0.4,1,0.385,0.38505111657230795,0.394,0.391,0.013261814612546071
1.0,15,0.4,2,0.385,0.38492909324782243,0.395,0.39020000000000005,0.012851363943710255
1.0,15,0.4,3,0.385,0.38593501372877753,0.392,0.3914,0.012983178707884539
1.0,15,0.4,4,0.39,0.3921709609600449,0.395,0.395,0.013343563976812736
1.0,25,0.1,0,0.096,0.09565067147442743,0.1,0.0976,0.007384944109104165
1.0,25,0.1,1,0.095,0.0956402033158833,0.1,0.0976,0.007198560455462519
1.0,25,0.1,2,0.08900000000000001,0.08999999789277294,0.099,0.0936,0.007150091456884443
1.0,25,0.1,3,0.08800000000000001,0.08999999979568282,0.1,0.094,0.007036780680251711
1.0,25,0.1,4,0.09000000000000001,0.09199999999295869,0.099,0.09480000000000001,0.007498599303961362
1.0,25,0.2,0,0.192,0.19233346845181803,0.198,0.19560000000000002,0.007557409244129546
1.0,25,0.2,1,0.192,0.19129003122791263,0.198,0.19440000000000002,0.007494410969279057
1.0,25,0.2,2,0.189,0.19000000292544433,0.198,0.1932,0.007500665183808363
1.0,25,0.2,3,0.192,0.1920000009427718,0.199,0.1948,0.007374767563122199
1.0,25,0.2,4,0.193,0.1939999992864432,0.199,0.196,0.007828318943912354
1.0,25,0.3,0,0.295,0.2945650153127594,0.299,0.2966,0.008367650390731
1.0,25,0.3,1,0.294,0.2934774820645468,0.298,0.29619999999999996,0.007868072107584749
1.0,25,0.3,2,0.296,0.2977975050304818,0.299,0.2984,0.00813631906492037
